Day,Hour,Mean,Std
Monday,00:00-00:59,1.375,0.6243878120688614
Monday,01:00-01:59,1.2627118644067796,0.49662047800535986
Monday,02:00-02:59,1.1830985915492958,0.38950001485162555
Monday,03:00-03:59,1.1521739130434783,0.36315844747302034
Monday,04:00-04:59,1.0465116279069768,0.21308263231644634
Monday,05:00-05:59,1.0769230769230769,0.2699527623995085
Monday,06:00-06:59,1.0285714285714285,0.16903085094570333
Monday,07:00-07:59,1.0740740740740742,0.2668802563418119
Monday,08:00-08:59,2.3806818181818183,1.5482604398518973
Monday,09:00-09:59,1.8255813953488371,1.0338353106159628
Monday,10:00-10:59,4.521739130434782,2.1480389070603585
Monday,11:00-11:59,9.721830985915492,3.2737442756942277
Monday,12:00-12:59,8.929577464788732,3.4449694718273673
Monday,13:00-13:59,5.1978798586572434,2.5577851732714123
Monday,14:00-14:59,3.1172161172161172,1.6740329564112668
Monday,15:00-15:59,1.849056603773585,1.0284341645939477
Monday,16:00-16:59,1.7416267942583732,0.8263911548516707
Monday,17:00-17:59,2.0547945205479454,1.0907081820168316
Monday,18:00-18:59,2.03056768558952,1.057110481953737
Monday,19:00-19:59,1.9086538461538463,1.0751124490719035
Monday,20:00-20:59,1.6868686868686869,0.8203808035737905
Monday,21:00-21:59,1.7164179104477613,0.8271511980754256
Monday,22:00-22:59,1.5053191489361701,0.7275873281326204
Monday,23:00-23:59,1.2252252252252251,0.55077935995996
Tuesday,00:00-00:59,1.4807692307692308,0.7136562274079267
Tuesday,01:00-01:59,1.3596491228070176,0.5968530004232767
Tuesday,02:00-02:59,1.1318681318681318,0.3402218625410715
Tuesday,03:00-03:59,1.0869565217391304,0.28488492464476783
Tuesday,04:00-04:59,1.054054054054054,0.22924343513512577
Tuesday,05:00-05:59,1.0454545454545454,0.21070705494148542
Tuesday,06:00-06:59,1.0232558139534884,0.15249857033260464
Tuesday,07:00-07:59,1.0,0.0
Tuesday,08:00-08:59,2.530054644808743,1.6062800849426144
Tuesday,09:00-09:59,1.9453551912568305,1.1847324358582199
Tuesday,10:00-10:59,6.088967971530249,2.731284235294913
Tuesday,11:00-11:59,11.873239436619718,3.600861999134904
Tuesday,12:00-12:59,10.243816254416961,3.7860216392200745
Tuesday,13:00-13:59,5.4163701067615655,2.6283378081898725
Tuesday,14:00-14:59,3.3851851851851853,1.7480108086451576
Tuesday,15:00-15:59,1.912621359223301,1.1008360115042044
Tuesday,16:00-16:59,1.7605633802816902,0.9536146041147715
Tuesday,17:00-17:59,1.9589041095890412,1.1100668154663245
Tuesday,18:00-18:59,1.9272727272727272,1.0222107915929814
Tuesday,19:00-19:59,1.785,0.950416465180624
Tuesday,20:00-20:59,1.5930232558139534,0.8147457821397321
Tuesday,21:00-21:59,1.6,0.8969937018449046
Tuesday,22:00-22:59,1.56875,0.7322050353804446
Tuesday,23:00-23:59,1.3018867924528301,0.5008528216619694
Wednesday,00:00-00:59,1.368421052631579,0.5945025248089217
Wednesday,01:00-01:59,1.3035714285714286,0.597883439697578
Wednesday,02:00-02:59,1.1136363636363635,0.35336862267336805
Wednesday,03:00-03:59,1.1666666666666667,0.429414907892783
Wednesday,04:00-04:59,1.0606060606060606,0.24230584229877994
Wednesday,05:00-05:59,1.103448275862069,0.30993404669460345
Wednesday,06:00-06:59,1.12,0.4396968652757639
Wednesday,07:00-07:59,1.0416666666666667,0.20412414523193148
Wednesday,08:00-08:59,2.192513368983957,1.3138417743981359
Wednesday,09:00-09:59,1.7096774193548387,1.1444875653632687
Wednesday,10:00-10:59,6.464539007092198,3.031357699452795
Wednesday,11:00-11:59,12.173144876325088,3.655616441045587
Wednesday,12:00-12:59,9.823321554770319,3.6237818093684426
Wednesday,13:00-13:59,5.352313167259786,2.4524921701063893
Wednesday,14:00-14:59,3.2339622641509433,1.6207629371905719
Wednesday,15:00-15:59,1.8592233009708738,0.9899925491913644
Wednesday,16:00-16:59,1.7416267942583732,0.9303841402933442
Wednesday,17:00-17:59,1.8904761904761904,1.0270992096734053
Wednesday,18:00-18:59,1.9861111111111112,1.0803925499629772
Wednesday,19:00-19:59,1.7127659574468086,0.9435663422660685
Wednesday,20:00-20:59,1.6170212765957446,0.8222361967106832
Wednesday,21:00-21:59,1.6850828729281768,0.8200600376290416
Wednesday,22:00-22:59,1.5151515151515151,0.7037015425942448
Wednesday,23:00-23:59,1.1869158878504673,0.4150662852609076
Thursday,00:00-00:59,1.3624161073825503,0.638989543338196
Thursday,01:00-01:59,1.2136752136752136,0.45160747048469346
Thursday,02:00-02:59,1.1142857142857143,0.320455162834309
Thursday,03:00-03:59,1.0980392156862746,0.30032661958503204
Thursday,04:00-04:59,1.09375,0.39015092199748014
Thursday,05:00-05:59,1.0909090909090908,0.2919371040605711
Thursday,06:00-06:59,1.0666666666666667,0.2537081317024624
Thursday,07:00-07:59,1.0416666666666667,0.20412414523193148
Thursday,08:00-08:59,2.0833333333333335,1.2122124350886667
Thursday,09:00-09:59,1.7921348314606742,0.9722389233571392
Thursday,10:00-10:59,6.342756183745583,3.0140055169069733
Thursday,11:00-11:59,12.215547703180212,3.5016974557060023
Thursday,12:00-12:59,9.607773851590107,3.3872219718028824
Thursday,13:00-13:59,5.429078014184397,2.4705248626749285
Thursday,14:00-14:59,3.0925925925925926,1.6046924512634668
Thursday,15:00-15:59,1.75,0.9049671360007382
Thursday,16:00-16:59,1.7598039215686274,0.9705779908079019
Thursday,17:00-17:59,2.0132743362831858,1.0851731597433354
Thursday,18:00-18:59,1.8509615384615385,0.9690370928929667
